parameter,label,factor,b,F,G,H,S,a_hat,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,N_star,P_star,G_4,ell_1,a_H_ratio,tau_ratio,omega_ratio,P_star_ratio
K,$K$,0.8,0.2834244590206495,0.9196705760288522,-0.566848918041299,-2.0,-0.0,1.323909311175154,0.20486569853917685,4.881246627086125,9.76249325417225,0.04899887410293203,128.23121800677475,20.0,1.3804157753742474,-1.7886708007870114,-2.824394343681685,0.5798777220609401,1.7245014973948396,0.9345926969706958,0.9695141020105563
K,$K$,0.804,0.2820143870852233,0.9204678854769458,-0.5640287741704466,-2.0,-0.0,1.3414760591267385,0.2075840298174489,4.817326269652864,9.634652539305728,0.049109658624692194,127.94194631237812,20.0,1.3816125283950476,-1.79665653162701,-2.8306042992301594,0.5875720298962265,1.7019189973638025,0.9367057741968569,0.9703546233599845
K,$K$,0.808,0.2806182762580688,0.9212533830299502,-0.5612365525161376,-2.0,-0.0,1.3591057363468095,0.21031209895951433,4.754838190229383,9.509676380458766,0.04921789824447784,127.66057737714448,20.0,1.3827915518866625,-1.804387986216443,-2.8365332542660804,0.5952939010098679,1.6798425085551538,0.9387703105770611,0.9711826926432499
K,$K$,0.812,0.27923592021738863,0.9220273008603481,-0.5584718404347773,-2.0,-0.0,1.376798530681653,0.21304993503327102,4.69373529658122,9.38747059316244,0.04932366488187697,127.38682987622482,20.0,1.3839531943375252,-1.8118736366368853,-2.842193121958379,0.6030434176793102,1.6582553936966866,0.9407876778881695,0.9719985546159227
K,$K$,0.8160000000000001,0.2778671166869112,0.9227898654641025,-0.5557342333738224,-2.0,-0.0,1.394554633012136,0.21579756757619692,4.633972529124572,9.267945058249143,0.04942702812269955,127.12043482731687,20.0,1.3850977957156732,-1.8191216640617716,-2.8475952768504853,0.6108206635111579,1.6371417336337915,0.9427592033931245,0.9728024480494024
K,$K$,0.8200000000000001,0.27651166733721894,0.9235412978263912,-0.5530233346744379,-2.0,-0.0,1.4123742367396128,0.2185550265157979,4.575506754257682,9.151013508515364,0.049528055299800165,126.86113494960779,20.0,1.3862256877175125,-1.8261399681894728,-2.8527505813324727,0.6186257232159997,1.616486289644376,0.9446861713825411,0.9735946059056336
K,$K$,0.8240000000000001,0.27516937768995087,0.9242818135817252,-0.5503387553799017,-2.0,-0.0,1.4302575373157604,0.2213223420968527,4.518296664158699,9.036593328317398,0.04962681157131494,126.6086840608427,20.0,1.3873371940081567,-1.83293617648029,-2.857669410712599,0.6264586824024735,1.5962744680383276,0.9465698246669793,0.9743752555059041
K,$K$,0.8280000000000001,0.2738400570247821,0.925011623168664,-0.5476801140495642,-2.0,-0.0,1.4482047318128413,0.22409954481491448,4.462302682613245,8.92460536522649,0.049723359996345196,126.36284650999887,20.0,1.3884326304536496,-1.839517653185606,-2.862361676964539,0.6343196273890406,1.5764922868872235,0.9484113660205162,0.9751446186939434
K,$K$,0.8320000000000001,0.272523518289086,0.9257309319793382,-0.545047036578172,-2.0,-0.0,1.4662160185311113,0.22688666535555974,4.407486876467046,8.814973752934092,0.049817761608127425,126.1233966432271,20.0,1.3895123053454006,-1.8458915081602258,-2.8668368512229363,0.6422086450320286,1.5571263447413222,0.9502119595763722,0.9759029119935513
K,$K$,0.8360000000000001,0.2712195780101908,0.926439940503974,-0.5424391560203816,-2.0,-0.0,1.484291596641042,0.22968373453902474,4.353812872326375,8.70762574465275,0.04991007548474707,125.8901183008585,20.0,1.390576519617111,-1.8520646054513625,-2.8711039850956115,0.6501258225689229,1.5381637912005643,0.951972732175688,0.9766503467609526
K,$K$,0.8400000000000001,0.2699280562101423,0.9271388444706142,-0.5398561124202846,-2.0,-0.0,1.5024316658557162,0.2324907832695111,4.301245778163888,8.602491556327776,0.0500003588174135,125.66280434354317,20.0,1.3916255670544964,-1.8580435716595618,-2.875171730859479,0.6580712474748751,1.5195922992186033,0.9536947746697864,0.9773871293320932
K,$K$,0.8440000000000001,0.26864877632289047,0.9278278349802136,-0.5372975526457809,-2.0,-0.0,1.5206364261341194,0.23530784248927203,4.249752109497121,8.499504218994241,0.050088666976408715,125.44125620549868,20.0,1.3926597344980618,-1.8638348040690227,-2.879048360599152,0.666045007332743,1.5014000390223174,0.9553791431780602,0.9781134611650549
K,$K$,0.8480000000000001,0.2673815651138202,0.9285070986372839,-0.5347631302276404,-2.0,-0.0,1.5389060774097496,0.23813494313661687,4.199299719849618,8.398599439699236,0.0501750535747103,125.2252834732696,20.0,1.3936793020391993,-1.869444478545749,-2.882741784349705,0.6740471897142207,1.4835756535443387,0.9570268603015026,0.9788295389777828
K,$K$,0.8520000000000001,0.26612625260154876,0.9291768176762567,-0.5322525052030975,-2.0,-0.0,1.5572408193447693,0.24097211610786762,4.14985773520935,8.2997154704187,0.05025957052939008,125.01470348827183,20.0,1.3946845432098567,-1.8748785572036266,-2.8862595672967997,0.6820778820721566,1.4661082352677883,0.9586389162938096,0.9795355548812954
K,$K$,0.856,0.2648826719819154,0.929837170083721,-0.5297653439638308,-2.0,-0.0,1.5756408511058093,0.24381939222266624,4.101396492231255,8.20279298446251,0.050342268120817484,124.80934097169471,20.0,1.3956757251660157,-1.88014279583936,-2.8896089460882006,0.6901371716423538,1.4489873043937773,0.9602162701906105,0.9802316965085484
K,$K$,0.86,0.2636506595540925,0.930488329716692,-0.527301319108185,-2.0,-0.0,1.594106371161927,0.24667680219271004,4.053887479937312,8.107774959874623,0.050423195049769616,124.60902767025856,20.0,1.396653108865211,-1.8852427511382557,-2.8927968443038994,0.6982251453550754,1.432202788244557,0.9617598508987723,0.9809181471391115
K,$K$,0.864,0.2624300546487495,0.9311304664170543,-0.524860109297499,-2.0,-0.0,1.6126375771008241,0.2495443765933128,4.0073032846968095,8.014606569393619,0.050502398492473975,124.41360202161341,20.0,1.3976169492383088,-1.8901837876534267,-2.8958298871334036,0.7063418897545475,1.4157450018255298,0.9632705582462703,0.981595085819816
K,$K$,0.868,0.26122069955820226,0.9317637461223234,-0.5224413991164045,-2.0,-0.0,1.631234665463168,0.252422145837767,3.961617538275366,7.923235076550732,0.05057992415367025,124.22290883810385,20.0,1.3985674953557594,-1.8949710845617536,-2.898714415302869,0.7144874909263904,1.3996046294714266,0.964749263994277,0.9822626874815182
K,$K$,0.872,0.26002243946848574,0.9323883309728577,-0.5200448789369715,-2.0,-0.0,1.6498978315929687,0.25531014015419073,3.916804868761049,7.833609737522098,0.050655816317744684,124.03679900778921,20.0,1.3995049905885204,-1.8996096422003643,-2.901456498293959,0.7226620344320837,1.3837727075089357,0.9661968128124859,0.9829211230521223
K,$K$,0.876,0.25883512239328715,0.9330043794156521,-0.5176702447865743,-2.0,-0.0,1.6686272695038886,0.2582083895648402,3.8728408541848878,7.7456817083697755,0.05073011789801817,123.85512921161663,20.0,1.4004296727638488,-1.9041042883878545,-2.9040619468924245,0.7308656052504092,1.3682406078712377,0.9676140232192212,0.9835705595659984
K,$K$,0.88,0.2576585991096813,0.9336120463048365,-0.5153171982193626,-2.0,-0.0,1.6874231717572017,0.2611169238672246,3.829701978675615,7.65940395735123,0.050802870484201394,123.6777616558797,20.0,1.4013417743161511,-1.9084596845347614,-2.9065363251058915,0.7390982877239969,1.3530000226078622,0.969001688486585,0.9842111602699299
K,$K$,0.884,0.2564927230956104,0.9342114829989985,-0.5129854461912208,-2.0,-0.0,1.7062857293550648,0.26403577261759076,3.7873655909812025,7.574731181962405,0.050874114388154236,123.50456381885621,20.0,1.402241522433061,-1.912680331548104,-2.908884961481159,0.7473601655125768,1.3380429492307102,0.9703605775132621,0.9848430847257086
