parameter,metric,S_h_1e-5,S_h_5e-6,absolute_difference
K,a_H_dim,2.289167226824691,2.2891672267854095,3.928146696807744e-11
K,omega_0_dim,0.19181218061078398,0.19181218053799104,7.279293834372424e-11
K,P_star,0.10839430397079726,0.10839430396299979,7.797471002213285e-12
eps,a_H_dim,-0.04400086977403011,-0.04400086979759897,2.3568862139722313e-11
eps,omega_0_dim,0.4665039384567765,0.46650393844354143,1.3235079698858954e-11
eps,P_star,0.9999999999999643,1.0000000000155593,1.559508078230465e-11
beta,a_H_dim,2.289167226824691,2.2891672267854095,3.928146696807744e-11
beta,omega_0_dim,0.19181218061078398,0.19181218053799104,7.279293834372424e-11
beta,P_star,0.10839430397079726,0.10839430396299979,7.797471002213285e-12
gamma,a_H_dim,-1.2451663571246514,-1.245166357061801,6.285039155784489e-11
gamma,omega_0_dim,0.34168388103872643,0.34168388100563873,3.3087699247147384e-11
gamma,P_star,-0.1083943039552023,-0.10839430396299979,7.797484880001093e-12
alpha,a_H_dim,0.0,0.0,0.0
alpha,omega_0_dim,0.0,0.0,0.0
alpha,P_star,-1.0000000001013316,-1.0000000000311542,7.017741943116107e-11
